Date,Time,department_abbreviation,department_name,service_name,call_resolution,zip_code
2014-01-01T00:00:00,15:05:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91311
2014-01-01T00:00:00,15:06:23,BOS,PW/Bureau of Sanitation,Dead Animal Collection,Transfer (City),90065
2014-01-01T00:00:00,15:06:38,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90003
2014-01-01T00:00:00,15:07:08,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),91352
2014-01-01T00:00:00,15:08:45,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90068
2014-01-01T00:00:00,15:09:13,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90034
2014-01-01T00:00:00,15:10:31,BOS,PW/Bureau of Sanitation,Request Storm Drain Maintenance/Repair,Gave Caller Information,91311
2014-01-01T00:00:00,15:12:01,LAFD,Los Angeles Fire Department,Fire Dept. Bureau of Emergency Services,Transfer (City),90026
2014-01-01T00:00:00,15:13:56,,,,Static/Ghost Call,
2014-01-01T00:00:00,15:14:35,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91306
2014-01-01T00:00:00,15:14:40,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90042
2014-01-01T00:00:00,15:14:44,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91601
2014-01-01T00:00:00,15:16:24,LAFD,Los Angeles Fire Department,Fire Department - Red Flag Day Parking Restriction,Gave Caller Information,99999
2014-01-01T00:00:00,15:16:27,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90046
2014-01-01T00:00:00,15:16:35,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90043
2014-01-01T00:00:00,15:16:58,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90032
2014-01-01T00:00:00,15:18:08,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90042
2014-01-01T00:00:00,15:18:34,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91401
2014-01-01T00:00:00,15:18:34,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90028
2014-01-01T00:00:00,15:19:12,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90043
2014-01-01T00:00:00,15:21:20,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91311
2014-01-01T00:00:00,15:21:43,,,,Caller Hung Up,99999
2014-01-01T00:00:00,15:23:29,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90024
2014-01-01T00:00:00,15:23:39,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90026
2014-01-01T00:00:00,15:23:50,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90066
2014-01-01T00:00:00,15:23:58,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90068
2014-01-01T00:00:00,15:24:06,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90068
2014-01-01T00:00:00,15:24:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91408
2014-01-01T00:00:00,15:24:22,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91412
2014-01-01T00:00:00,15:24:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90009
2014-01-01T00:00:00,15:24:33,RAP,Department of Recreation and Parks,Recreation and Parks Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,15:24:37,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90010
2014-01-01T00:00:00,15:24:45,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91406
2014-01-01T00:00:00,15:24:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90068
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:25:06,DOT,Department of Transportation,Abandoned Vehicles,Transfer (City),90016
2014-01-01T00:00:00,15:26:04,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91324
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,15:26:22,LADBS,Department of Building and Safety,Report a Property Violation,Service Request Processed,90012
2014-01-01T00:00:00,15:28:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90065
2014-01-01T00:00:00,15:28:31,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90015
2014-01-01T00:00:00,15:28:36,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90003
2014-01-01T00:00:00,15:28:40,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90015
2014-01-01T00:00:00,15:28:40,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90015
2014-01-01T00:00:00,15:28:53,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90027
2014-01-01T00:00:00,15:28:53,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90027
2014-01-01T00:00:00,15:29:09,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91606
2014-01-01T00:00:00,15:29:16,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90065
2014-01-01T00:00:00,15:29:16,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90065
2014-01-01T00:00:00,15:29:30,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90036
2014-01-01T00:00:00,15:29:30,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90036
2014-01-01T00:00:00,15:29:47,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90006
2014-01-01T00:00:00,15:29:47,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90006
2014-01-01T00:00:00,15:29:48,ITA,Information Technology Agency,3-1-1 Radio Room,Transfer (City),91601
2014-01-01T00:00:00,15:29:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90232
2014-01-01T00:00:00,15:30:10,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90001
2014-01-01T00:00:00,15:30:15,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),90026
2014-01-01T00:00:00,15:30:21,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91345
2014-01-01T00:00:00,15:30:39,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90744
2014-01-01T00:00:00,15:30:40,DOT,Department of Transportation,Parking Enforcement Officer Complaints,Transfer (City),90043
2014-01-01T00:00:00,15:32:38,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91423
2014-01-01T00:00:00,15:36:46,DOT,Department of Transportation,Report Broken Parking Meters,Transfer (City),99999
2014-01-01T00:00:00,15:37:29,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,91402
2014-01-01T00:00:00,15:38:25,DOT,Department of Transportation,Blocked Driveways,Transfer (City),91331
2014-01-01T00:00:00,15:39:50,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91344
2014-01-01T00:00:00,15:40:04,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90029
2014-01-01T00:00:00,15:40:16,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),99999
2014-01-01T00:00:00,15:41:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91367
2014-01-01T00:00:00,15:44:00,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),91401
2014-01-01T00:00:00,15:44:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90744
2014-01-01T00:00:00,15:47:53,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90032
2014-01-01T00:00:00,15:48:42,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90016
2014-01-01T00:00:00,15:49:56,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91405
2014-01-01T00:00:00,15:50:39,,,,Caller Hung Up,
2014-01-01T00:00:00,15:51:00,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90039
2014-01-01T00:00:00,15:51:15,DOT,Department of Transportation,Impounded/Towed Vehicle,Gave Caller Information,99999
2014-01-01T00:00:00,15:51:40,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90044
2014-01-01T00:00:00,15:52:19,DOT,Department of Transportation,Blocked Driveways,Transfer (City),90024
2014-01-01T00:00:00,15:53:08,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91342
2014-01-01T00:00:00,15:53:23,ITA,Information Technology Agency,3-1-1 Radio Room,Warm Transfer (City),91311
2014-01-01T00:00:00,15:53:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,15:53:51,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90068
2014-01-01T00:00:00,15:55:13,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90026
2014-01-01T00:00:00,15:55:36,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90007
2014-01-01T00:00:00,15:56:39,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91605
2014-01-01T00:00:00,15:56:58,,,,Static/Ghost Call,
2014-01-01T00:00:00,15:58:35,LADBS,Department of Building and Safety,Report a Property Violation,Service Request Processed,91607
2014-01-01T00:00:00,15:58:45,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90291
2014-01-01T00:00:00,15:58:49,,,,Caller Hung Up,
